Moderator,Trump,Joe Biden
Happy,0.008620689655172414,0.03317073170731708,0.02553191489361702
Angry,0.030000000000000002,0.011707317073170733,0.035531914893617025
Surprise,0.12310344827586207,0.05365853658536586,0.015319148936170212
Sad,0.11206896551724138,0.2426829268292683,0.10829787234042552
Fear,0.20862068965517244,0.21926829268292689,0.21978723404255318
