Moderator,Trump,Joe Biden
Happy,0.03533632286995516,0.057252396166134194,0.045870445344129554
Angry,0.008923766816143498,0.025015974440894567,0.03364372469635628
Surprise,0.07856502242152466,0.08472843450479231,0.08663967611336032
Sad,0.10865470852017936,0.14792332268370603,0.12315789473684208
Fear,0.2795067264573991,0.18948881789137373,0.25331983805668024
