Moderator,Trump,Joe Biden
Happy,0.02702702702702703,0.04176470588235294,0.028235294117647056
Angry,1e-09,0.06627450980392158,0.03
Surprise,0.06243243243243243,0.04196078431372549,0.11558823529411766
Sad,0.1897297297297297,0.23039215686274508,0.16794117647058823
Fear,0.20702702702702702,0.22725490196078427,0.3932352941176471
