Moderator,Trump,Joe Biden
Happy,0.021346153846153845,0.04253164556962026,0.022028985507246378
Angry,0.010576923076923078,0.0064556962025316455,0.01246376811594203
Surprise,0.06807692307692308,0.0970886075949367,0.08492753623188407
Sad,0.06076923076923077,0.09936708860759494,0.11434782608695651
Fear,0.2425,0.15949367088607594,0.18637681159420288
