Moderator,Trump,Joe Biden
Happy,0.017777777777777778,0.060000000000000005,0.05566037735849057
Angry,0.0016666666666666666,0.02,0.06113207547169812
Surprise,0.04583333333333334,0.07360655737704919,0.07792452830188679
Sad,0.09,0.12737704918032788,0.09547169811320756
Fear,0.5394444444444444,0.21032786885245902,0.27641509433962264
